tsne_1,tsne_2,cluster_gmm,pivote3,pivote5,pivote10,pivote15,estado_oculto
4.82663426737417e-06,1.36561029648874e-05,0,0.6667,0.8000,0.7000,0.6667,0
1.9772291125264e-05,1.57833565026522e-05,0,1.0000,0.8000,0.8000,0.6667,0
1.2436549695849e-05,1.45871299537248e-05,0,1.0000,0.8000,0.7000,0.6000,0
4.81206188851502e-06,6.90406523062848e-06,0,0.6667,0.6000,0.7000,0.6000,0
8.90465071279323e-06,5.76601723878412e-06,0,0.6667,0.6000,0.7000,0.6000,0
-3.71715515257165e-07,1.05200588222942e-05,0,0.3333,0.6000,0.6000,0.5333,0
2.05651599571866e-06,1.44534187711542e-05,0,0.6667,0.8000,0.6000,0.5333,0
7.94808875070885e-06,1.66811605595285e-05,0,0.6667,0.6000,0.5000,0.4667,0
1.65983965416672e-05,1.72488271346083e-05,0,1.0000,0.8000,0.6000,0.4667,0
1.20826180136646e-05,9.28423924051458e-06,0,0.6667,0.8000,0.6000,0.4667,0
1.74460819835076e-05,6.48072682452039e-06,0,0.6667,0.6000,0.5000,0.4667,0
2.08472483791411e-05,1.34213623823598e-05,0,0.6667,0.4000,0.4000,0.4000,0
1.07450332507142e-05,2.42604764935095e-05,0,0.6667,0.4000,0.4000,0.4000,0
3.44997861247975e-05,1.92888892343035e-05,0,0.3333,0.4000,0.3000,0.3333,0
4.64272670797072e-05,5.06779579154681e-05,0,0.0000,0.4000,0.3000,0.2667,0
1.83164811460301e-05,6.58055614621844e-06,0,0.3333,0.4000,0.4000,0.2667,0
2.42117985180812e-05,4.5033107198833e-06,0,0.6667,0.4000,0.4000,0.2667,0
1.05159660961363e-05,4.73846341719764e-07,0,0.6667,0.4000,0.4000,0.2667,0
4.60276023659389e-05,1.66605204867665e-05,0,0.3333,0.2000,0.3000,0.2000,0
1.7177660993184e-05,-5.17125863552792e-06,0,0.0000,0.2000,0.2000,0.1333,0
4.14237583754584e-05,1.75592731466168e-07,0,0.0000,0.4000,0.2000,0.1333,0
4.33150034950813e-06,-6.19687489233911e-06,0,0.3333,0.4000,0.2000,0.1333,0
3.32029449054971e-05,-1.6228959793807e-05,0,0.6667,0.4000,0.2000,0.1333,0
2.65556809608825e-05,-1.93679516087286e-05,0,0.6667,0.4000,0.2000,0.1333,0
4.96060347359162e-05,1.02244503068505e-05,0,0.3333,0.2000,0.1000,0.0667,0
7.74756044847891e-05,6.38377387076616e-05,0,0.0000,0.0000,0.0000,0.0000,0
-3.86501815228257e-05,7.82138013164513e-05,0,0.0000,0.0000,0.0000,0.0000,0
-5.06863489135867e-06,-9.43285613175249e-06,0,0.0000,0.0000,0.0000,0.0000,0
-6.1203577388369e-06,1.68525057233637e-05,0,0.0000,0.0000,0.0000,0.0000,0
-3.37461569870356e-05,4.00405133405002e-06,0,0.0000,0.0000,0.0000,0.0000,0
2.86312751995865e-05,-1.51704134623287e-05,0,0.0000,0.0000,0.0000,0.0000,0
-8.34969432617072e-06,2.22661692532711e-05,0,0.0000,0.0000,0.0000,0.0000,0
-1.03101501736091e-05,9.85539463727036e-06,0,0.0000,0.0000,0.0000,0.0000,0
2.33380728786869e-06,8.60242835187819e-06,0,0.0000,0.0000,0.0000,0.0000,0
1.49358702401514e-05,9.69234042713651e-06,0,0.0000,0.0000,0.0000,0.0000,0
-7.70659244153649e-06,1.75381628650939e-05,0,0.0000,0.0000,0.0000,0.0000,0
1.38131863423041e-05,-4.49220642622095e-05,0,0.0000,0.0000,0.0000,0.0000,0
-5.54683756490704e-05,1.19235173769994e-05,0,0.0000,0.0000,0.0000,0.0000,0
-4.76012028229889e-05,-1.41948330565356e-05,0,0.0000,0.0000,0.0000,0.0000,0
-4.98628505738452e-05,3.45179250871297e-06,0,0.0000,0.0000,0.0000,0.0000,0
-1.25114593174658e-05,-3.94274102291092e-05,0,0.0000,0.0000,0.0000,0.0000,0
2.11533933907049e-05,2.12847389775561e-05,0,0.0000,0.0000,0.0000,0.0000,0
-2.18020227293891e-06,1.00033557828283e-05,0,0.0000,0.0000,0.0000,0.0000,0
3.79324264940806e-05,6.42023678665282e-06,0,0.0000,0.0000,0.0000,0.0000,0
-6.21067665633745e-05,-1.04855678273452e-06,0,0.0000,0.0000,0.0000,0.0000,0
5.7570134231355e-05,1.04839073173935e-05,0,0.0000,0.0000,0.0000,0.0000,0
-6.93564879838959e-06,-2.3112270355341e-06,0,0.0000,0.0000,0.0000,0.0000,0
4.37078415416181e-05,-2.69755469162192e-06,0,0.0000,0.0000,0.0000,0.0000,0
1.57234649122984e-06,1.19408205137006e-05,0,0.0000,0.0000,0.0000,0.0000,0
