tsne_1,tsne_2,cluster_gmm,pivote3,pivote5,pivote10,pivote15
-4.46273443230893e-05,-3.54866751877125e-05,2,0.6667,0.8000,0.7000,0.6667
-4.46273443230893e-05,-3.54866751877125e-05,2,1.0000,0.8000,0.8000,0.6667
-4.46273443230893e-05,-3.54866751877125e-05,2,1.0000,0.8000,0.7000,0.6000
-4.46273443230893e-05,-3.54866751877125e-05,2,0.6667,0.6000,0.7000,0.6000
-4.46273443230893e-05,-3.54866751877125e-05,2,0.6667,0.6000,0.7000,0.6000
-4.46273443230893e-05,-3.54866751877125e-05,2,0.3333,0.6000,0.6000,0.5333
-4.46273443230893e-05,-3.54866751877125e-05,2,0.6667,0.8000,0.6000,0.5333
-4.46273443230893e-05,-3.54866751877125e-05,2,0.6667,0.6000,0.5000,0.4667
-4.46273443230893e-05,-3.54866751877125e-05,2,1.0000,0.8000,0.6000,0.4667
-4.46273443230893e-05,-3.54866751877125e-05,2,0.6667,0.8000,0.6000,0.4667
-4.46273443230893e-05,-3.54866751877125e-05,2,0.6667,0.6000,0.5000,0.4667
-4.46273443230893e-05,-3.54866751877125e-05,2,0.6667,0.4000,0.4000,0.4000
-4.46273443230893e-05,-3.54866751877125e-05,2,0.6667,0.4000,0.4000,0.4000
2.47381340159336e-05,5.23012386111077e-06,2,0.3333,0.4000,0.3000,0.3333
-2.186724486819e-06,1.70961538970005e-05,2,0.0000,0.4000,0.3000,0.2667
-3.60682133759838e-05,-6.16557517787442e-05,2,0.3333,0.4000,0.4000,0.2667
-3.24790307786316e-05,-5.24873321410269e-05,2,0.6667,0.4000,0.4000,0.2667
-4.33651348430431e-06,-7.69286561990157e-05,2,0.6667,0.4000,0.4000,0.2667
5.85088491789065e-06,-2.82020791928517e-05,2,0.3333,0.2000,0.3000,0.2000
4.62635543954093e-05,-1.18724783533253e-05,2,0.0000,0.2000,0.2000,0.1333
6.04782471782528e-05,-2.11572205444099e-06,2,0.0000,0.4000,0.2000,0.1333
4.07166735385545e-05,-2.45946521317819e-05,2,0.3333,0.4000,0.2000,0.1333
6.04782471782528e-05,-2.11572205444099e-06,2,0.6667,0.4000,0.2000,0.1333
4.07166735385545e-05,-2.45946521317819e-05,2,0.6667,0.4000,0.2000,0.1333
-3.17713875119807e-06,-2.79321411653655e-05,2,0.3333,0.2000,0.1000,0.0667
-4.65107541458565e-06,-7.93796243669931e-06,2,0.0000,0.0000,0.0000,0.0000
7.50098479329608e-06,-4.63961296190973e-05,2,0.0000,0.0000,0.0000,0.0000
-8.13956012279959e-06,-1.97822337213438e-05,2,0.0000,0.0000,0.0000,0.0000
2.41040343098575e-05,-1.6912244973355e-05,2,0.0000,0.0000,0.0000,0.0000
8.79685103427619e-05,1.86623547051568e-05,2,0.0000,0.0000,0.0000,0.0000
0.000111339133582078,-3.14696808345616e-05,2,0.0000,0.0000,0.0000,0.0000
-9.83126301434822e-06,-5.80832238483708e-05,2,0.0000,0.0000,0.0000,0.0000
-2.44641250901623e-05,-3.83572514692787e-05,2,0.0000,0.0000,0.0000,0.0000
2.71105418505613e-05,-7.18437149771489e-07,2,0.0000,0.0000,0.0000,0.0000
-6.54303003102541e-05,-1.1841564628412e-05,2,0.0000,0.0000,0.0000,0.0000
